Year,Brand Name,Generic Name,Manufacturer,Indication,Coverage Type,Total Spending,Beneficiary Count,Unit Count,Beneficiary Cost Share,Total Annual Spending Per User,Average Cost Per Unit,Average Annual Beneficiary Cost Share,Claim Count,Beneficiary Count LIS,Beneficiary Count No LIS,Beneficiary Cost Share LIS,Beneficiary Cost Share No LIS,Average Beneficiary Cost Share LIS,Average Beneficiary Cost Share No LIS
2014,Treanda,Bendamustine HCl,"Cephalon,Inc.-T",,Part B,"$303,255,151.23","13,345","14,262,225","$57,257,985.42","$22,724.25",$21.26,"$4,290.59","74,810",n/a,n/a,n/a,n/a,n/a,n/a
2010,Truvada,Emtricitabine/Tenofovir,Gilead Sciences,HIV,Part D,"$389,392,617.95","46,423","11,456,298","$10,470,674.80","$8,387.92",$33.99,*,"374,568","40,315","6,108","$1,252,723.10","$9,217,951.70",$31.07,"$1,509.16"
2011,Truvada,Emtricitabine/Tenofovir,Gilead Sciences,,Part D,"$477,531,851.84","51,587","13,125,859","$8,217,748.38","$9,256.83",$36.38,*,"425,868","44,300","7,287","$1,169,825.98","$7,047,922.40",$26.41,$967.19
2012,Truvada,Emtricitabine/Tenofovir,Gilead Sciences,,Part D,"$573,253,125.40","55,241","14,414,838","$7,649,754.69","$10,377.31",$39.77,*,"464,311","46,909","8,332","$1,071,806.32","$6,577,948.37",$22.85,$789.48
2013,Truvada,Emtricitabine/Tenofovir,Gilead Sciences,,Part D,"$621,051,368.06","57,263","14,921,770","$8,292,493.46","$10,845.60",$41.62,*,"488,245","47,667","9,596","$1,069,038.70","$7,223,454.76",$22.43,$752.76
2014,Truvada,Emtricitabine/Tenofovir,Gilead Sciences,,Part D,"$665,461,659.29","58,350","15,309,710","$8,576,526.66","$11,404.66",$43.47,*,"495,383","47,917","10,433","$1,049,587.86","$7,526,938.80",$21.90,$721.45
2010,Tysabri,Natalizumab,Biogen-Idec,Multiple Sclerosis,Part B,"$123,709,476.02","6,228","14,650,479","$24,772,770.23","$19,863.44",$8.44,"$3,977.64","48,725",n/a,n/a,n/a,n/a,n/a,n/a
2011,Tysabri,Natalizumab,Biogen-Idec,,Part B,"$168,635,618.12","7,049","16,435,051","$33,825,883.53","$23,923.34",$10.26,"$4,798.68","54,702",n/a,n/a,n/a,n/a,n/a,n/a
2012,Tysabri,Natalizumab,Biogen-Idec,,Part B,"$203,043,011.19","7,779","18,208,952","$40,676,715.39","$26,101.43",$11.15,"$5,229.04","60,419",n/a,n/a,n/a,n/a,n/a,n/a
2013,Tysabri,Natalizumab,Biogen-Idec,,Part B,"$229,994,021.62","7,987","18,477,973","$46,664,172.11","$28,796.05",$12.45,"$5,842.52","61,277",n/a,n/a,n/a,n/a,n/a,n/a
2014,Tysabri,Natalizumab,Biogen-Idec,Cardiovascular,Part B,"$256,002,009.46","7,302","18,094,113","$52,163,007.37","$35,059.16",$14.15,"$7,143.66","59,972",n/a,n/a,n/a,n/a,n/a,n/a
2010,Tyvaso,Treprostinil; Treprostinil/Neb Accessories; Treprostinil/Nebulizer/Accesor,United Therap,,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2011,Tyvaso,Treprostinil; Treprostinil/Neb Accessories; Treprostinil/Nebulizer/Accesor,United Therap,,Part B,"$95,459,843.27","1,233","233,295","$19,095,013.92","$77,420.80",$409.18,"$15,486.63","8,344",n/a,n/a,n/a,n/a,n/a,n/a
2012,Tyvaso,Treprostinil; Treprostinil/Neb Accessories; Treprostinil/Nebulizer/Accesor,United Therap,,Part B,"$128,396,729.03","1,464","303,457","$25,697,936.96","$87,702.68",$423.11,"$17,553.24","10,846",n/a,n/a,n/a,n/a,n/a,n/a
2013,Tyvaso,Treprostinil; Treprostinil/Neb Accessories; Treprostinil/Nebulizer/Accesor,United Therap,,Part B,"$170,948,496.14","1,796","384,501","$34,655,186.82","$95,182.90",$444.60,"$19,295.76","13,796",n/a,n/a,n/a,n/a,n/a,n/a
2014,Tyvaso,Treprostinil; Treprostinil/Neb Accessories; Treprostinil/Nebulizer/Accesor,United Therap,,Part B,"$204,903,497.51","2,059","441,354","$41,675,049.41","$99,516.03",$464.26,"$20,240.43","15,941",n/a,n/a,n/a,n/a,n/a,n/a
2010,Ursodiol,Ursodiol,Multiple Manufacturers,Cirrhosis,Part D,"$33,664,926.76","51,564","27,604,580","$3,858,459.17",$652.88,$1.22,*,"277,017","22,195","29,369","$201,851.00","$3,656,608.17",$9.09,$124.51
2011,Ursodiol,Ursodiol,Multiple Manufacturers,,Part D,"$36,332,803.48","55,465","30,185,942","$4,288,848.29",$655.06,$1.20,*,"294,304","23,163","32,302","$224,746.22","$4,064,102.07",$9.70,$125.82
2012,Ursodiol,Ursodiol,Multiple Manufacturers,,Part D,"$38,009,024.94","60,236","33,517,241","$5,126,338.52",$631.00,$1.13,*,"315,420","24,275","35,961","$223,770.78","$4,902,567.74",$9.22,$136.33
2013,Ursodiol,Ursodiol,Multiple Manufacturers,,Part D,"$39,844,078.43","68,403","38,693,647","$6,604,395.84",$582.49,$1.03,*,"353,523","25,223","43,180","$241,079.92","$6,363,315.92",$9.56,$147.37
2014,Ursodiol,Ursodiol,Multiple Manufacturers,,Part D,"$79,888,946.03","71,896","39,563,065","$9,852,558.44","$1,111.17",$2.02,*,"370,376","25,975","45,921","$281,326.20","$9,571,232.24",$10.83,$208.43
2010,Velcade,Bortezomib,Millennium Phar,Chemotherapy,Part B,"$275,369,339.55","14,944","7,152,869","$55,120,639.37","$18,426.75",$38.50,"$3,688.48","194,511",n/a,n/a,n/a,n/a,n/a,n/a
2011,Velcade,Bortezomib,Millennium Phar,,Part B,"$338,466,636.65","17,279","8,306,039","$67,772,233.75","$19,588.32",$40.75,"$3,922.23","225,513",n/a,n/a,n/a,n/a,n/a,n/a
2012,Velcade,Bortezomib,Millennium Phar,,Part B,"$420,160,564.89","19,812","9,853,491","$84,095,485.50","$21,207.38",$42.64,"$4,244.67","262,985",n/a,n/a,n/a,n/a,n/a,n/a
2013,Velcade,Bortezomib,Millennium Phar,,Part B,"$450,366,022.40","20,316","10,208,787","$91,287,998.24","$22,168.05",$44.12,"$4,493.40","269,868",n/a,n/a,n/a,n/a,n/a,n/a
2014,Velcade,Bortezomib,Millennium Phar,,Part B,"$471,660,024.32","20,371","10,474,963","$95,965,518.95","$23,153.50",$45.03,"$4,710.89","272,954",n/a,n/a,n/a,n/a,n/a,n/a
2010,Vimovo,Naproxen/Esomeprazole Mag,Horizon Pharma,Inflammation,Part D,"$104,626.93","1,002","67,680","$30,434.69",$104.42,$1.55,*,"1,215",568,434,"$2,566.24","$27,868.45",$4.52,$64.21
2011,Vimovo,Naproxen/Esomeprazole Mag,Horizon Pharma,,Part D,"$3,201,526.74","18,464","1,977,356","$756,113.77",$173.39,$1.62,*,"34,216","9,966","8,498","$79,397.71","$676,716.06",$7.97,$79.63
2012,Vimovo,Naproxen/Esomeprazole Mag,Horizon Pharma,,Part D,"$6,642,823.10","23,014","3,865,420","$1,467,473.92",$288.64,$1.72,*,"63,917","11,122","11,892","$136,499.52","$1,330,974.40",$12.27,$111.92
2013,Vimovo,Naproxen/Esomeprazole Mag,Horizon Pharma,,Part D,"$7,283,008.31","19,769","3,757,060","$1,692,952.59",$368.41,$1.94,*,"58,975","7,902","11,867","$113,327.82","$1,579,624.77",$14.34,$133.11
2014,Vimovo,Naproxen/Esomeprazole Mag,Horizon Pharma,,Part D,"$38,879,753.75","21,291","3,119,158","$1,816,591.56","$1,826.11",$12.46,*,"48,972","8,836","12,455","$98,875.68","$1,717,715.88",$11.19,$137.91
2010,Xolair,Omalizumab,"Genentech, Inc.",Inflammation,Part B,"$104,870,679.20","7,123","5,380,069","$21,112,384.34","$14,722.82",$19.49,"$2,963.97","77,578",n/a,n/a,n/a,n/a,n/a,n/a
2011,Xolair,Omalizumab,"Genentech, Inc.",,Part B,"$126,440,591.42","7,986","6,057,220","$25,464,222.87","$15,832.78",$20.87,"$3,188.61","87,775",n/a,n/a,n/a,n/a,n/a,n/a
2012,Xolair,Omalizumab,"Genentech, Inc.",,Part B,"$150,647,721.50","8,650","6,723,978","$30,263,311.96","$17,415.92",$22.40,"$3,498.65","97,351",n/a,n/a,n/a,n/a,n/a,n/a
2013,Xolair,Omalizumab,"Genentech, Inc.",,Part B,"$177,084,921.89","9,451","7,349,730","$36,023,943.79","$18,737.16",$24.09,"$3,811.65","106,547",n/a,n/a,n/a,n/a,n/a,n/a
2014,Xolair,Omalizumab,"Genentech, Inc.",,Part B,"$220,125,530.69","11,463","8,432,875","$44,902,840.91","$19,203.13",$26.10,"$3,917.20","122,625",n/a,n/a,n/a,n/a,n/a,n/a
2010,Xtandi,Enzalutamide,Astellas Pharma,Prostate Cancer,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2011,Xtandi,Enzalutamide,Astellas Pharma,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2012,Xtandi,Enzalutamide,Astellas Pharma,,Part D,"$34,898,755.93","2,143","547,731","$2,359,870.77","$16,285.00",$63.72,*,"4,519",429,"1,714","$18,735.24","$2,341,135.53",$43.67,"$1,365.89"
2013,Xtandi,Enzalutamide,Astellas Pharma,,Part D,"$231,503,731.19","7,329","3,569,568","$13,276,790.11","$31,587.36",$64.85,*,"29,572","1,496","5,833","$147,527.91","$13,129,262.20",$98.61,"$2,250.86"
2014,Xtandi,Enzalutamide,Astellas Pharma,,Part D,"$447,311,084.46","11,800","6,444,098","$24,567,059.52","$37,907.72",$69.41,*,"53,980","2,291","9,509","$266,473.87","$24,300,585.65",$116.31,"$2,555.54"
2010,Yervoy,Ipilimumab,BMS Primarycare,Chemotherapy,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2011,Yervoy,Ipilimumab,BMS Primarycare,,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2012,Yervoy,Ipilimumab,BMS Primarycare,,Part B,"$193,989,380.23","2,101","1,551,476","$20,707,885.01","$92,331.93",$125.04,"$9,856.20","6,126",n/a,n/a,n/a,n/a,n/a,n/a
2013,Yervoy,Ipilimumab,BMS Primarycare,,Part B,"$216,642,082.82","2,349","1,730,977","$22,259,232.46","$92,227.37",$125.16,"$9,476.05","6,701",n/a,n/a,n/a,n/a,n/a,n/a
2014,Yervoy,Ipilimumab,BMS Primarycare,,Part B,"$265,378,988.15","2,881","2,059,976","$27,560,982.18","$92,113.50",$128.83,"$9,566.46","8,026",n/a,n/a,n/a,n/a,n/a,n/a
2010,Zytiga,Abiraterone Acetate,Janssen Biotech,Prostate Cancer,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2011,Zytiga,Abiraterone Acetate,Janssen Biotech,,Part D,"$71,009,409.20","3,936","1,648,304","$6,346,405.33","$18,041.01",$43.08,*,"13,477",987,"2,949","$50,177.15","$6,296,228.18",$50.84,"$2,135.04"
2012,Zytiga,Abiraterone Acetate,Janssen Biotech,,Part D,"$224,260,182.87","8,357","4,594,078","$16,650,258.05","$26,835.01",$48.82,*,"37,934","2,105","6,252","$216,616.82","$16,433,641.23",$102.91,"$2,628.54"
2013,Zytiga,Abiraterone Acetate,Janssen Biotech,,Part D,"$469,661,711.96","14,191","8,630,869","$27,858,755.39","$33,095.74",$54.42,*,"71,423","3,327","10,864","$312,215.67","$27,546,539.72",$93.84,"$2,535.58"
2014,Zytiga,Abiraterone Acetate,Janssen Biotech,,Part D,"$707,097,864.76","17,044","11,836,159","$41,003,957.93","$41,486.61",$59.74,*,"98,469","3,585","13,459","$472,187.38","$40,531,770.55",$131.71,"$3,011.50"
